feature	importance
max_hydrophobicity	0.09406910146531906
tm_position	0.06826338237290994
max_aliphacity	0.06200140877579618
mean_hydrophobicity	0.05606906156051785
tm_max	0.04462462884955311
most_hydrophobic_residue	0.03996766027631108
most_likely_beta_sheet	0.036874757579352456
tm_mean	0.03627362211308059
most_aliphatic_residue	0.03561774158343849
mean_beta_sheet	0.03398397449924072
most_charged	0.03368800379221638
mean_aliphacity	0.03327319158255945
max_beta_sheet	0.03287268653884361
mean_alpha_helix	0.027238457123738503
composition_(A)	0.026583685724428426
composition_(L)	0.025171135819138785
max_alpha_helix	0.023910676401292633
most_likely_alpha_helix	0.022215510959526397
composition_(I)	0.01887858436220616
composition_(C)	0.018588709851980714
less_charged	0.018098142280973797
composition_(P)	0.017097795038337686
composition_(R)	0.01620679089320899
composition_(G)	0.01475926184503499
composition_(S)	0.014229893714804391
min_charge	0.013500779408546
composition_(V)	0.013477101802695998
composition_(F)	0.012370598877468268
composition_(K)	0.012065103389969892
composition_(T)	0.011750380815964405
composition_(W)	0.011436982267596655
composition_(N)	0.010467543335120948
composition_(D)	0.010354031083450252
composition_(E)	0.010347378108308344
max_charge	0.010302802115682108
composition_(Q)	0.009868728521092447
composition_(M)	0.008802389121463383
composition_(H)	0.007480397218851822
composition_(Y)	0.007217918929979116
